date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:56:58	201647/201647	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/expo-newsweek.jpg	E:/b/getbootstrap.com/assets/img/expo-newsweek.jpg	(from http://getbootstrap.com/)
07:56:58	641/641	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	E:/b/getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	(from http://getbootstrap.com/)
07:56:59	36868/36868	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/js/bootstrap.min.js	E:/b/getbootstrap.com/dist/js/bootstrap.min.js	(from http://getbootstrap.com/)
07:56:59	3854/3854	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2020:30:35%20GMT	http://secure.gaug.es/track.js	E:/b/secure.gaug.es/track.js	(from http://getbootstrap.com/)
07:57:00	46533/46533	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/docs.min.js	E:/b/getbootstrap.com/assets/js/docs.min.js	(from http://getbootstrap.com/)
07:57:02	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	E:/b/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
07:57:03	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	E:/b/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
07:57:06	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	E:/b/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
07:57:06	20127/20127	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot?	E:/b/getbootstrap.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
07:57:06	95957/95957	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/vendor/jquery.min.js	E:/b/getbootstrap.com/assets/js/vendor/jquery.min.js	(from http://getbootstrap.com/)
07:57:08	4562/4562	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/starter-template/	E:/b/getbootstrap.com/examples/starter-template/index.html	(from http://getbootstrap.com/getting-started/)
07:57:12	45404/45404	---MC-	200	added ('OK')	application/x-font-ttf	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	E:/b/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
07:57:12	22571/22571	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/screenshots/starter-template.jpg	E:/b/getbootstrap.com/examples/screenshots/starter-template.jpg	(from http://getbootstrap.com/getting-started/)
07:57:22	27837/27837	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/examples/theme/	E:/b/getbootstrap.com/examples/theme/index.html	(from http://getbootstrap.com/getting-started/)
